Read	Length	Count
R1	106	30139
R1	142	39173315
R1	104	27965
R1	137	137166
R1	81	12221
R1	139	780265
R1	141	1196383
R1	130	80517
R1	127	78473
R1	43	21830
R1	105	29382
R1	136	97429
R1	69	10719
R1	140	157918
R1	109	35357
R1	62	10643
R1	120	58598
R1	60	11062
R1	95	20772
R1	103	26747
R1	49	20527
R1	87	15593
R1	76	11048
R1	58	11348
R1	138	270362
R1	61	11080
R1	64	10535
R1	135	91170
R1	126	73504
R1	111	38590
R1	48	19663
R1	129	79778
R1	122	63064
R1	80	11623
R1	116	50130
R1	90	16388
R1	118	53978
R1	98	22604
R1	36	11825
R1	108	33619
R1	99	22733
R1	115	47283
R1	107	31884
R1	86	14471
R1	84	13216
R1	121	61010
R1	119	56817
R1	125	70894
R1	133	85961
R1	112	40202
R1	92	18298
R1	124	67154
R1	39	15850
R1	134	87128
R1	59	11406
R1	128	79334
R1	40	17509
R1	70	10716
R1	131	83768
R1	68	10995
R1	45	24429
R1	110	37709
R1	83	13563
R1	66	10716
R1	72	10911
R1	54	14180
R1	55	13066
R1	100	23393
R1	94	18831
R1	123	63985
R1	57	11755
R1	117	50499
R1	114	43839
R1	77	11073
R1	89	15506
R1	132	84312
R1	101	24362
R1	42	17926
R1	71	10966
R1	46	22203
R1	56	12775
R1	73	11124
R1	37	12080
R1	50	19994
R1	38	12425
R1	44	21394
R1	102	25902
R1	96	20856
R1	79	11240
R1	91	16925
R1	47	18561
R1	97	21691
R1	113	42468
R1	65	10579
R1	35	12053
R1	51	17720
R1	78	11430
R1	85	14051
R1	82	13455
R1	52	14883
R1	53	14152
R1	41	18118
R1	93	18750
R1	67	10757
R1	74	11019
R1	88	15615
R1	63	10885
R1	75	11157
R2	141	1754489
R2	142	38303134
R2	123	63161
R2	139	1064929
R2	137	154246
R2	83	14110
R2	98	22857
R2	88	15480
R2	140	211051
R2	130	81586
R2	127	77281
R2	105	31133
R2	138	332034
R2	109	36017
R2	106	31315
R2	70	11682
R2	120	57711
R2	95	19982
R2	61	11356
R2	133	88324
R2	103	28099
R2	38	9783
R2	89	15899
R2	52	10245
R2	117	50966
R2	90	17095
R2	64	10973
R2	135	95768
R2	126	72778
R2	129	81226
R2	136	106344
R2	122	61132
R2	116	49017
R2	111	39045
R2	108	34644
R2	132	87268
R2	115	46791
R2	107	33424
R2	69	11242
R2	45	10183
R2	119	55381
R2	134	90984
R2	85	14181
R2	118	54061
R2	128	79907
R2	87	16018
R2	94	18796
R2	63	11447
R2	112	41064
R2	86	14512
R2	131	85675
R2	96	21021
R2	124	65385
R2	80	12814
R2	35	9764
R2	110	38058
R2	78	12406
R2	81	12954
R2	66	11442
R2	57	10529
R2	46	10394
R2	44	10112
R2	100	24065
R2	121	58884
R2	125	68896
R2	114	44266
R2	58	10651
R2	91	16531
R2	92	17699
R2	67	11234
R2	77	12419
R2	102	26612
R2	101	25672
R2	59	10922
R2	104	29554
R2	99	23790
R2	68	11226
R2	37	9634
R2	62	10761
R2	56	10776
R2	48	10216
R2	39	9912
R2	84	13749
R2	76	12341
R2	50	10283
R2	72	12454
R2	97	21449
R2	113	42789
R2	74	11991
R2	43	10268
R2	54	10751
R2	79	12363
R2	49	10165
R2	51	10708
R2	75	12181
R2	47	10173
R2	73	11907
R2	42	10232
R2	55	10569
R2	36	9616
R2	53	10547
R2	40	9997
R2	71	11548
R2	93	18769
R2	41	9909
R2	65	11276
R2	60	11019
R2	82	13763
